"query_id","new_id","query","answer","A","B","C","D","Z"
"22711","329","Which statement accurately captures the nuanced relationship between target-setting and organizational strategy as implied in CDP SME Questionnaire April 2025 Modules 14-21?","A","For financial services companies, climate targets covering operational emissions must exclude Category 15 Investments to qualify as an absolute or intensity target.","Net-zero targets are exclusively focused on eliminating Scope 1 and Scope 2 emissions, with residual emissions neutralized through carbon offsets.","Methane-specific targets are considered a subset of low-carbon energy strategies due to their focus on reducing greenhouse gas emissions.","Capital goods organizations are required to prioritize product-level Scope 3 targets over company-wide emissions reductions to align with investor expectations.","Not sure"
"22712","330","What is the primary reason CDP asks organizations to complete Module 15 before disclosing specific risks and opportunities in Module 16, based on CDP SME Questionnaire April 2025 Modules 14-21?","B","To ensure that all geographic areas of operation are accounted for in the risk assessment process.","To provide data users with a comprehensive understanding of environmental risks without organizational bias.","To allow organizations to consult their accountants before finalizing their responses to complex questions.","To prioritize the identification of small and medium-sized enterprises over larger corporations.","Not sure"
"22713","331","When determining the time horizon for an environmental risk, which factor below is NOT explicitly mentioned as a consideration in CDP SME Questionnaire April 2025 Modules 14-21?","C","The geographical distribution of the organization's operations.","The anticipated useful life of the organization’s assets and infrastructure.","The dependency of the organization on specific business units.","How environmental risks may manifest differently across short, medium, and long-term periods.","Not sure"
"22714","332","Which statement accurately reflects the nuanced relationship between target setting and organizational strategies as implied in CDP SME Questionnaire April 2025 Modules 14-21?","D","Net-zero targets are considered achieved when organizations reduce emissions to zero without relying on neutralization mechanisms.","Capital goods sector organizations are encouraged to prioritize Scope 1 and 2 emissions over Scope 3 emissions for target setting due to their direct operational control.","Transport OEMs must report absolute CO2 reductions in grams per kilometer for all markets, regardless of local regulatory requirements or relevance.","For financial services companies, climate targets covering operational emissions exclude Category 15 Investments, but lending and investment portfolios should still be considered in broader target frameworks.","Not sure"
"22715","333","When reporting a target partially achieved through offsetting, which of the following best describes how the company must treat the emissions reductions versus offsets under the provided guidance from CDP SME Questionnaire April 2025 Modules 14-21?","A","Only the proportion attributed to emissions reductions, excluding offsets, should be reported based on estimations or planned initiatives.","The company should report the total target including offsets as a unified figure for simplicity.","The company is required to report both the gross emissions and offset components separately in all cases.","Offsets should be reported as the primary metric while emissions reductions are considered optional supplementary data.","Not sure"
"22716","334","Which of the following best captures the implicit relationship between cost reporting flexibility and organizational resource allocation as described in CDP SME Questionnaire April 2025 Modules 14-21?","B","Organizations are required to allocate a fixed percentage of their budget to risk response actions, ensuring standardized reporting across entities.","The ability to report either absolute or percentage-based costs allows organizations to align disclosure with their financial capacity and operational priorities.","Reporting zero costs for risk response indicates that an organization has fully integrated risk management into its core business operations without additional expenditure.","Organizations must prioritize collective action initiatives over individual risk responses to qualify for flexible cost calculations.","Not sure"
"22717","335","Which of the following best explains why organizations might exclude certain emissions sources from their disclosure, based on the implicit reasoning in CDP SME Questionnaire April 2025 Modules 14-21?","C","Exclusions are primarily due to an organization's deliberate choice to omit data that could harm its public image.","Organizations exclude emissions sources only when they are legally permitted to do so under international reporting standards.","The exclusions are justified when data acquisition is hindered by structural changes such as mergers or divestments, or when sources are located in areas with unreliable data systems.","Exclusions occur exclusively when emissions fall below a universally accepted threshold of materiality.","Not sure"
"22718","336","Which of the following best describes why organizations responsible for transporting fossil fuels must report Scope 3 category 11 emissions, even when they do not own the fuels, according to CDP SME Questionnaire April 2025 Modules 14-21?","D","Because these emissions are directly controlled by the organization during transportation.","Because the ACT initiative mandates ownership of all emissions generated during fuel processing.","Because reporting is only required for emissions from fuels owned and distributed by the organization.","Because these emissions are a consequence of the organization’s activities despite lack of ownership of the fuels.","Not sure"
"22719","337","When determining major sources of emissions for reporting purposes, which scenario best reflects the most challenging limitation an organization might face according to CDP SME Questionnaire April 2025 Modules 14-21?","A","The organization's assumptions about emission sources are constrained by insufficient knowledge of its operational boundaries.","The organization lacks access to published industry data and must rely solely on internal measurements.","The organization excludes all Scope 3 emissions as they are not considered relevant to purchased products.","The organization chooses to report only Scope 1 emissions due to a lack of financial control over other sources.","Not sure"
"22720","338","Which of the following best reflects a scenario where an organization's environmental policy would fail to meet the accountability expectations outlined in CDP SME Questionnaire April 2025 Modules 14-21?","B","The organization integrates environmental guidelines into its employee handbook, which is accessible to all staff but not explicitly shared with external stakeholders.","The organization has a standalone climate policy addressing energy efficiency but does not make it publicly available.","The organization lacks formal documentation but verbally communicates environmental commitments during internal meetings.","The organization develops a comprehensive sustainability policy covering its value chain risks but delays publishing it until next year.","Not sure"
"22721","339","Which of the following best captures the reason why traceability systems are critical for organizations reporting to requesting CDP Supply Chain Members, as outlined in CDP SME Questionnaire April 2025 Modules 14-21?","C","They ensure that all suppliers within the upstream value chain hold necessary certifications against environmental standards.","They provide a standardized method for calculating lifetime GHG emissions across downstream value chains.","They enable organizations to monitor and verify the realization of estimated CO2e and water savings specifically tied to their customers.","They allow organizations to reconcile differing stakeholder interests in landscape and jurisdictional initiatives.","Not sure"
"22722","340","Which of the following best captures an implicit but necessary condition for realizing both CO2e and water savings in downstream value chains as outlined in CDP SME Questionnaire April 2025 Modules 14-21?","D","The initiative must involve logistical changes such as route optimization or transportation mode switching to ensure downstream reductions.","Customers’ operational emissions and water consumption reductions are contingent upon upstream suppliers adopting renewable energy practices.","Certification coverage increases for deforestation-free materials inherently lead to reductions in both downstream CO2e and water impacts.","Downstream value chain savings require alignment with customer targets and ambitions through relationship sustainability assessments.","Not sure"
"22723","341","When estimating the percentage of total Scope 3 emissions represented by an excluded source, which condition must be met to ensure compliance with the principle of relevance as outlined in CDP SME Questionnaire April 2025 Modules 14-21?","A","The estimation approach must align with stakeholder expectations and adequately reflect the organization's overall emissions profile.","The estimation must rely exclusively on industry-average emissions intensities for all excluded sources.","The excluded source must contribute less than 5% of the total emissions inventory to be considered relevant.","The excluded source must be evaluated solely based on its potential to drive emissions reductions.","Not sure"
"22724","342","Which of the following statements accurately reflects the conditions under which hydrogen or waste energy would be excluded from MWh calculations for renewable sources, as outlined in CDP SME Questionnaire April 2025 Modules 14-21?","B","Hydrogen and waste energy are excluded only when they are derived from non-renewable biomass.","Both hydrogen and waste energy are excluded if derived from fossil fuels, but waste energy from renewable sources is permissible.","Hydrogen is excluded if derived from fossil fuels, but waste energy is always included regardless of its origin.","Waste energy is excluded if it originates from renewable sources, while hydrogen is excluded only when certified as unsustainable.","Not sure"
"22725","343","Which of the following risks is most directly associated with both a disruption in production capacity and an increased cost of raw materials, while also being relevant to companies operating in regions prone to seasonal supply variability, as outlined in CDP SME Questionnaire April 2025 Modules 14-21?","C","Scarcity of land resources","Saline intrusion","Water stress","Permafrost thawing","Not sure"
"22726","344","When identifying major sources of emissions, which of the following best captures the reasoning behind why certain sources might be excluded from reporting, based on the described methodology in CDP SME Questionnaire April 2025 Modules 14-21?","D","Sources can be excluded if they contribute less than 5% to total emissions, as minor contributions do not significantly affect overall figures.","Exclusions occur only when industry-average data is unavailable, making primary data collection impractical or overly burdensome.","All potential emission sources must be reported regardless of their relevance to specific customer purchases.","Exclusions are justified if the organization lacks operational control over the source, even when financial or equity control exists.","Not sure"
"22727","345","Which scenario best aligns with the implicit reasoning behind why an organization would select 'Third-party verification or assurance process in place' despite not completing the process before the CDP deadline according to CDP SME Questionnaire April 2025 Modules 14-21?","A","The organization's verification schedule is misaligned with the CDP deadline, yet it remains committed to periodic third-party validation.","The organization has decided to bypass third-party verification entirely due to budget constraints but still wants to appear compliant.","The organization exclusively relies on internal audits for all emissions reporting and considers this sufficient for CDP standards.","The organization believes that third-party verification is unnecessary for Scope 3 emissions and therefore skips the process.","Not sure"
"22729","346","Which scenario best exemplifies a capital goods sector organization leveraging an opportunity in alignment with the TCFD’s recommendations as described in CDP SME Questionnaire April 2025 Modules 14-21?","B","A company develops a new line of industrial machinery that reduces water usage but does not address energy efficiency or closed-loop solutions.","A firm introduces a product that enhances manufacturing efficiency and incorporates recycled materials, aligning with circular economy principles.","An organization launches a service that focuses exclusively on carbon offsetting through reforestation without integrating energy-saving technologies.","A business invests in agricultural expansion in degraded lands to avoid deforestation, targeting improvements in raw material sourcing.","Not sure"
"22768","347","Which scenario would most likely fall outside the scope of disclosures as defined in the Security & Commodity Exchanges – Sustainability Accounting Standard?","C","A market operator discloses risks associated with automated trading systems related to potential declines in latency requirements.","An entity calculates the percentage of trades executed through algorithmic systems, including high-frequency trading but excluding program trading.","An exchange reports on a trading halt caused by a jurisdictional authority due to an entity's failure to file periodic reports.","A security exchange describes its alert policy regarding the timing of public releases that could affect stock prices.","Not sure"
"23140","348","Which statement accurately reflects the relationship between the management policies for biodiversity and the mitigation strategies for acid rock drainage, as described in the Metals & Mining – Sustainability Accounting Standard?","D","Both biodiversity management and ARD mitigation require alignment with IFC Performance Standards, but only biodiversity management explicitly involves evaluating impacts on endangered species.","Mitigation of ARD is considered complete once acidic water is captured and treated, whereas biodiversity management requires ongoing policy alignment with multiple external frameworks.","The entity must disclose percentages of sites where ARD occurs or is mitigated, but no such disclosure requirement exists for areas with high biodiversity value.","Biodiversity management applies uniformly across all operations unless mineral-specific differences exist, while ARD mitigation is assessed based solely on production output weight without regard to resource type.","Not sure"
"23150","349","Which scenario would most likely be considered a situation where an entity's reserves in a protected area or endangered species habitat present low risks to biodiversity, based on the implicit reasoning in the Metals & Mining – Sustainability Accounting Standard?","A","Probable reserves near a habitat of an IUCN Red List species classified as Critically Endangered, where the entity demonstrates minimal disruption to critical ecosystem services.","Reserves located within five kilometers of a Natura 2000 site but with negligible ecological impact due to advanced mitigation measures.","Proved reserves situated directly inside an IUCN-defined protected area where mining operations are restricted to non-invasive extraction methods.","Reserves identified in areas with no official biodiversity designation but where significant risks to biodiversity arise from extensive land-use changes.","Not sure"
"23151","350","Which of the following best describes why the disclosure for work stoppages under EM-MM-310a.2 might be considered insufficient if it only provided numerical data without additional context, as outlined in the Metals & Mining – Sustainability Accounting Standard?","B","Because numerical data alone cannot capture the severity or operational impact of each work stoppage.","Because the root cause description is mandated to ensure transparency regarding underlying issues.","Because the text explicitly states that all disclosures must include training hours for health and safety.","Because collective agreements are the primary factor influencing the duration of strikes and lockouts.","Not sure"
"23188","351","Which of the following best describes why an entity might report both the number and duration of strikes and lockouts, as well as the reason for each work stoppage and its effect on production, according to the Metals & Mining – Sustainability Accounting Standard?","C","To demonstrate compliance with jurisdictional health and safety regulations regarding workforce training.","To ensure transparency in reporting near misses that could lead to future fatalities or injuries.","To provide a comprehensive account of operational disruptions and their potential financial and reputational impacts.","To calculate the total days idle as a measure of environmental damage caused by work stoppages.","Not sure"
"23189","352","Which of the following best describes why the entity must disclose both water withdrawn and water consumed in areas with High or Extremely High Baseline Water Stress as percentages of their respective totals, according to the Metals & Mining – Sustainability Accounting Standard?","D","To ensure compliance with technology-based standards for hazardous substance discharges.","To directly address violations related to pre-treatment requirements or TMDL exceedances.","To identify facilities that exclusively rely on continuous discharge limitations.","To provide a comprehensive view of operational dependency on water resources under significant stress conditions.","Not sure"
"23190","353","Which of the following best captures the reason why materials incinerated for energy recovery are explicitly excluded from the definition of recycled hazardous waste, as stated in the Metals & Mining – Sustainability Accounting Standard?","A","Because energy recovery through incineration is considered a form of waste disposal rather than material reintegration into products.","Because incineration processes do not align with the Basel Convention's focus on reducing environmental harm.","Because incineration produces emissions that violate jurisdictional regulatory frameworks governing hazardous waste.","Because the text prioritizes recycling methods that involve direct reuse of hazardous materials without transformation.","Not sure"
"23191","354","Which scenario would most likely result in an entity facing substantial costs related to compensation or settlement payments, based on the interplay between regulatory risk and community-related risks, as described in the Metals & Mining – Sustainability Accounting Standard?","B","An entity operating in a region with strong governance institutions but failing to engage local communities regarding environmental impacts.","An entity perceived as violating indigenous peoples’ rights in a jurisdiction with emerging laws protecting those rights and weak governance structures.","An entity using private security forces in an area with robust human rights legislation and minimal indigenous populations.","An entity disclosing all its reserves located near conflict zones without actively extracting resources from these areas.","Not sure"
"23192","355","Which scenario best illustrates a situation where an entity must provide a disaggregation of probable reserves by grade and mineral type, but *not* necessarily by proximity to indigenous peoples' land, as outlined in the Metals & Mining – Sustainability Accounting Standard?","C","An entity operates in a region with no identified indigenous peoples' lands within five kilometers of its probable reserves.","An entity's probable reserves are located entirely within areas recognized as indigenous peoples' lands, but the reserves consist of only one mineral type.","An entity's probable reserves are located far from any indigenous peoples' lands, but the reserves include multiple minerals with varying grades.","An entity has probable reserves near indigenous peoples' lands, but the reserves are of uniform grade and distributed across multiple mineral types.","Not sure"
"23299","356","Which statement accurately reflects the Task Force's reasoning for encouraging companies to disclose Scope 3 GHG emissions despite its conditional nature, as described in the Task Force on Climate-related Financial Disclosures Guidance on Metrics, Targets, and Transition Plans?","D","Scope 3 emissions are universally considered material, making their disclosure mandatory under all circumstances.","Disclosure of Scope 3 emissions is encouraged only when it aligns with existing climate-related opportunities and capital deployment strategies.","The Task Force mandates Scope 3 emissions disclosure whenever internal carbon prices are applied across operations.","The Task Force views Scope 3 emissions as less critical than Scope 1 and Scope 2 but still valuable for a comprehensive risk assessment.","Not sure"
"23353","357","Which of the following best reflects an obligation for companies when disclosing climate-related targets, based on the interplay between target descriptions, performance assessments, and methodological clarifications, as described in the Task Force on Climate-related Financial Disclosures Implementing the Recommendations of the Task Force on Climate-related Financial Disclosures?","A","Companies should disclose methodologies for calculating targets only when such methodologies are not apparent or differ significantly from established frameworks.","Companies must always disclose short-term targets before providing any medium- or long-term goals, regardless of materiality.","Companies are required to describe whether their targets are absolute or intensity-based but can omit time frames if they align with anticipated regulatory requirements.","Companies must provide interim targets in aggregate or by business line whenever medium- or long-term targets are disclosed, even if these details seem redundant.","Not sure"
"23388","358","Which of the following best explains why disclosing climate-related targets is considered less comprehensive than other Metrics and Targets disclosures, despite being among the most decision-useful types of information, as described in the Task Force on Climate-related Financial Disclosures Implementing the Recommendations of the Task Force on Climate-related Financial Disclosures?","B","Climate-related targets lack integration into overall risk management processes, making them less actionable for investors.","Climate-related targets are disclosed by fewer companies compared to other metrics, reducing their comparative usefulness.","The timeframes over which climate-related targets apply are not disclosed, limiting their utility in assessing long-term organizational resilience.","Key performance indicators used to assess progress against climate-related targets are not consistently reported, undermining their reliability.","Not sure"
"23390","359","Which statement accurately reflects the relationship between internal carbon pricing and its implications for companies, as discussed in the Task Force on Climate-related Financial Disclosures Implementing the Recommendations of the Task Force on Climate-related Financial Disclosures?","C","Internal carbon pricing is universally applicable to all companies, regardless of their exposure to climate-related risks.","The disclosure of internal carbon prices primarily serves to highlight companies that are currently profitable under existing climate policies.","Internal carbon pricing allows users to assess which companies are adapting their business models to mitigate transition risks associated with future policy responses to climate change.","Companies using internal carbon prices are guaranteed to demonstrate resilience against all forms of climate-related financial risks.","Not sure"
"23391","360","Which of the following best explains why disclosing climate-related targets is considered decision-useful, yet remains the least disclosed element within the Metrics and Targets category, as outlined in the Task Force on Climate-related Financial Disclosures Implementing the Recommendations of the Task Force on Climate-related Financial Disclosures?","D","Climate-related targets are less relevant to investors compared to other disclosures, leading to lower prioritization.","Companies avoid disclosing climate-related targets due to fears of legal liability if they fail to meet them.","Investors find climate-related targets redundant when Scope 1, Scope 2, and Scope 3 GHG emissions data is already disclosed.","The complexity of setting measurable climate-related targets makes companies hesitant to disclose incomplete or evolving data.","Not sure"
"23392","361","Which statement accurately reflects the relationship between a company's interim GHG emissions target and its broader climate-related objectives, as described in the Task Force on Climate-related Financial Disclosures Implementing the Recommendations of the Task Force on Climate-related Financial Disclosures?","A","The interim GHG emissions target is designed to align progress with pathways consistent with a 2°C scenario but may require updates to achieve more ambitious goals.","The interim GHG emissions reduction target of 50% by 2030 is sufficient to ensure alignment with a 1.5°C scenario without further adjustments.","Achieving the interim GHG emissions target guarantees the firm will meet its commitment to net-zero emissions by 2050 under all NGFS scenarios.","The interim target of reducing emissions by 50% applies exclusively to Scope 3 emissions, while Scope 1 and 2 are addressed separately in later stages.","Not sure"
"23394","362","Which statement accurately reflects the implicit relationship between the metrics disclosed by insurance companies and asset owners regarding their alignment with a well below 2°C scenario, as described in the Task Force on Climate-related Financial Disclosures Implementing the Recommendations of the Task Force on Climate-related Financial Disclosures?","B","Insurance companies and asset owners are both required to use the same specific metrics, such as weighted average carbon intensity, to demonstrate alignment with a well below 2°C scenario.","While insurance companies focus on aggregated risk exposure to weather-related catastrophes, asset owners emphasize GHG emissions and weighted average carbon intensity to align with a well below 2°C scenario using approaches suited to their context.","Both insurance companies and asset owners must disclose metrics for all jurisdictions and asset classes without exception, ensuring comprehensive alignment with a well below 2°C scenario.","Asset owners are instructed to prioritize disclosing property business risks, similar to insurance companies, to maintain consistency in reporting alignment with a well below 2°C scenario.","Not sure"
"23395","363","Which statement accurately reflects the implications of linking executive compensation to climate considerations, as discussed in the Task Force on Climate-related Financial Disclosures Implementing the Recommendations of the Task Force on Climate-related Financial Disclosures?","C","Companies are required to disclose the exact monetary value of executive compensation tied to climate performance.","The Task Force mandates that all companies use quantitative disclosure methods for remuneration policies related to climate issues.","Disclosure practices may vary, with some companies reporting percentage weightings and others providing descriptive explanations of how climate factors influence executive pay.","Climate-related remuneration policies are standardized across industries to ensure consistency and comparability.","Not sure"
"23396","364","Which of the following best captures the implicit reasoning behind why companies are advised to disclose metrics related to GHG emissions, energy, water, and other physical risk exposures, as outlined in the Task Force on Climate-related Financial Disclosures Implementing the Recommendations of the Task Force on Climate-related Financial Disclosures?","D","To ensure compliance with mandatory international reporting standards.","To directly improve the accuracy of financial statements for investors.","To exclusively support the company’s internal operational efficiency initiatives.","To provide insights into strategic planning and risk management processes tied to climate-related risks and opportunities.","Not sure"
"23509","365","Which of the following best describes why an entity’s failure to manage sourcing risks could indirectly limit its ability to capitalize on new market opportunities, as described in the Agricultural Products – Sustainability Accounting Standard?","A","Because reduced margins and increased crop price volatility diminish the entity's capacity to adapt to climate change scenarios, thereby missing potential competitive advantages.","Because higher costs of capital directly reduce the quality of crops, leading to a weaker brand reputation.","Because constrained revenue growth prevents investment in supplier relationships, which are critical for developing innovative products.","Because identifying principal crops is insufficient without also controlling the entire production process, which limits scalability.","Not sure"
"23518","366","Which combination of metrics would BEST allow a company to evaluate its comprehensive sustainability performance related to both water usage and workforce safety risks, while excluding energy-related disclosures, as outlined in the Agricultural Products – Sustainability Accounting Standard?","B","Operational energy consumption, percentage renewable energy, and fatality rates for contract employees.","Water withdrawal/consumption percentages in high-stress regions, number of water quality compliance incidents, and total recordable incident rate (TRIR) for direct employees.","Total water withdrawn, corrective action rates from supplier audits, and near miss frequency rates (NMFR) for contract employees.","Percentage of agricultural products sourced from high water-stress regions, non-conformance rates in food safety audits, and fleet fuel consumption.","Not sure"
"23519","367","Which of the following best captures the reason why entities in the Agricultural Products industry might prioritize improving fuel efficiency and utilizing alternative fuels, based on the interplay between regulatory costs, operational challenges, and technological innovation in the Agricultural Products – Sustainability Accounting Standard?","C","To exclusively eliminate their reliance on carbon dioxide as a primary greenhouse gas emission source.","To adopt strategies that allow them to entirely offset gross emissions through credits and similar mechanisms before accounting for actual emission reductions.","To ensure compliance with emissions regulations while simultaneously reducing exposure to volatile fuel pricing and supply disruptions, which could otherwise increase operational costs.","To align with region-specific guidance such as the GHG Reporting Guidance for the Aerospace Industry, which mandates the use of alternative fuels.","Not sure"
"23994","368","Which scenario would be considered compliant with the entity's disclosure requirements regarding recycled materials and wood fibre sourcing, as described in the Building Products & Furnishings – Sustainability Accounting Standard?","D","An entity reports that 60% of its wood fibre is sourced from third-party certified forests, including biomass used for energy.","An entity calculates the percentage of recycled material by including all incoming recovered material, even if some portions were discarded in landfills.","An entity claims full compliance by reporting energy recovery through incineration of wood waste as part of its recycling efforts.","An entity discloses that 45% of its total wood fibre materials are certified under ATFS standards and provides a breakdown of other certifications applied to remaining purchases.","Not sure"
"25225","369","Under which circumstance would an entity be permitted to revise a comparative amount for a forward-looking metric without violating the prohibition on hindsight, as outlined in IFRS S1?","A","If the revision does not involve the use of hindsight and aligns with newly identified trends or conditions.","If the revision reflects new information that provides evidence of circumstances existing in the preceding period.","If the entity determines it is impracticable to recreate data from the prior period due to missing or incomplete records.","If the entity introduces a new metric in the reporting period and finds it necessary to adjust comparatives retroactively.","Not sure"
"25263","370","Under which circumstance is an entity permitted to omit a revised comparative amount for a forward-looking metric without violating the requirements outlined in IFRS S1?","B","When the metric has been redefined or replaced in the reporting period and it is impracticable to provide a revised amount.","When the entity determines that hindsight would be required to revise the comparative amount.","When the new information pertains to circumstances that arose after the preceding period.","When the comparative amount was originally disclosed as an estimate rather than an exact value.","Not sure"
"25272","371","Under what circumstances can an entity omit material sustainability-related opportunity information while still complying with disclosure standards, and how does this interact with legal restrictions, as outlined in IFRS S1?","C","If the information is commercially sensitive, already publicly available, and its disclosure would prejudice economic benefits, regardless of legal prohibitions.","If the information is not commercially sensitive but is prohibited by law, provided the entity identifies the omitted information type and explains the restriction source.","If the information is commercially sensitive, not publicly available, and disclosing it would seriously prejudice economic benefits, even if no legal prohibition exists.","If the information pertains to abundant resources like water in non-stressed areas, making aggregation unnecessary despite legal requirements.","Not sure"
"25278","372","When assessing the materiality of information about possible future events with uncertain outcomes, which factor would most likely lead an entity to judge such information as immaterial, according to IFRS S1?","D","The event could cause supply chain disruption, but only one source of risk exists and its likelihood is minimal.","The event's effects are scrutinized by primary users, regardless of timing or magnitude of impact.","The event involves low-probability and high-impact outcomes that cumulatively pose a substantial risk.","The event has significant potential effects but is unlikely to occur within the short or medium term.","Not sure"
"25280","373","Which of the following best reflects the implication of an entity's reassessment obligation when a significant change in its value chain occurs, according to the interplay between materiality and cost-effort considerations in IFRS S1?","A","An entity should reassess affected sustainability-related risks and opportunities unless the cost or effort outweighs the benefits for primary users, with the threshold for such balance being dynamic.","The entity must always reassess all sustainability-related risks and opportunities throughout its value chain regardless of cost or effort.","Reassessment is triggered only if the entity directly causes the significant event or change in circumstances affecting its value chain.","An entity is prohibited from reassessing sustainability-related risks more frequently than required, even if new regulations suggest heightened exposure.","Not sure"
"25282","374","When applying the principles of fair presentation in sustainability-related financial disclosures, which statement accurately reflects the relationship between materiality and the disclosure requirements under IFRS Sustainability Disclosure Standards, as outlined in IFRS S1?","B","Materiality is solely determined by the magnitude of risks or opportunities, irrespective of their nature, and overrides all other disclosure considerations.","Materiality is an entity-specific aspect of relevance that complements the need for additional disclosures when compliance with specific standards is insufficient.","Materiality ensures complete neutrality in reporting but does not require consideration of whether users can understand the disclosed effects of risks and opportunities.","Materiality depends exclusively on external benchmarks and eliminates the need for verifiability or timeliness in disclosures.","Not sure"
"25283","375","When an entity cross-references information in its sustainability-related financial disclosures, which condition must be satisfied to ensure compliance with IFRS Sustainability Disclosure Standards while maintaining the understandability of the complete set of disclosures, as outlined in IFRS S1?","C","The cross-referenced information must be disclosed in a separate standalone report that is published after the sustainability-related financial disclosures.","The cross-referenced information must be available on different terms and at a later time than the sustainability-related financial disclosures to ensure relevance.","The cross-referenced information must be available on the same terms and at the same time as the sustainability-related financial disclosures, and it must not reduce the understandability of the complete set of disclosures.","The cross-referenced information must only include data related to workforce restructuring and exclude all other types of sustainability-related risks or opportunities.","Not sure"
"25284","376","Which of the following best captures the relationship between primary users' expectations about returns and their assessment of an entity's stewardship, according to IFRS S1?","D","Primary users' expectations about returns are solely based on dividends and interest payments, which directly determine their views on the entity's stewardship.","Assessments of stewardship by primary users rely exclusively on market price increases, with no consideration for future net cash inflows or other factors.","Primary users disregard stewardship entirely when forming expectations about returns, focusing only on sustainability-related financial disclosures.","Expectations about returns depend on both the assessment of future net cash inflows and the perceived effectiveness of management in utilizing economic resources, which together shape views on stewardship.","Not sure"
"25728","377","Which scenario demonstrates a contradiction between projected habitat changes for species in Iran, based on the provided climate change impacts in the Climate Change 2022: Impacts, Adaptation and Vulnerability. Working Group II Contribution to the IPCC Sixth Assessment Report?","A","The Persian leopard is expected to lose habitat due to climate change, while the Mesopotamian spiny-tailed lizard will see an increase in suitable habitat.","Both the Persian leopard and Daphne mucronata are projected to experience significant habitat loss under future climate conditions.","Daphne mucronata will expand its range in response to climate change, contrasting with most other plant and animal species in Iran.","Climate change will equally reduce biodiversity across all studied species in Iran, including both native plants and invasive species.","Not sure"
"25868","378","Which factor, if unaddressed, poses the greatest risk to upper-montane forest species that cannot disperse quickly enough in response to climate change, according to the Climate Change 2022: Impacts, Adaptation and Vulnerability. Working Group II Contribution to the IPCC Sixth Assessment Report?","B","The failure of treelines to shift downhill as temperatures increase.","If treelines fail to shift uphill, those species of the upper-montane forest that experience range contraction at their lower range limit do not have a suitable habitat to expand into beyond their upper range limit.","The rapid upward movement of vegetation zones outpacing species migration.","The desynchronisation of mutualistic relationships such as pollination.","Not sure"
"25924","379","Which factor is most directly implicated in the exacerbation of both undernutrition and obesity due to climate change, according to the relationships described in the Climate Change 2022: Impacts, Adaptation and Vulnerability. Working Group II Contribution to the IPCC Sixth Assessment Report?","C","Increased exposure to extreme weather events causing disruptions in food supply chains.","Decreased access to nutrient-dense foods resulting from economic instability caused by climate variability.","Increasing temperatures could contribute to obesity through reduced physical activity, increased prices of produce or shifts in eating patterns of populations towards more processed foods.","Climate-induced food insecurity driving populations to adopt monotonous diets low in diversity.","Not sure"
"26016","380","Which governance approach is most directly associated with fostering trust-building, policy experimentation, and learning through the active steering of actors at multiple levels and decision-making scales, according to the Climate Change 2022: Impacts, Adaptation and Vulnerability. Working Group II Contribution to the IPCC Sixth Assessment Report?","D","Adaptive governance, due to its reliance on formal and informal social networks and nested institutions.","Collaborative governance, because it prioritizes community-based initiatives in addressing climate change.","Multi-level governance, since it focuses exclusively on vertical integration of policies across administrative tiers.","Polycentric governance, as it emphasizes interactions across local, regional, national, and international actors to achieve collective goals.","Not sure"
"26018","381","Which factor is both a significant barrier to adaptation in low-income countries and explicitly linked to challenges in governance and institutional capacity, based on the interdependent components of an enabling environment in the Climate Change 2022: Impacts, Adaptation and Vulnerability. Working Group II Contribution to the IPCC Sixth Assessment Report?","A","The presence of corruption and governance failure in managing pre-existing vulnerabilities.","The absence of diversified livelihood portfolios among vulnerable households.","Poor vertical interplay and lack of citizen participation in climate governance.","Higher inequalities in income distribution and limited access to financial assets.","Not sure"
"26021","382","Which factor is both explicitly identified as exacerbating the impacts of water-related disasters and implied to have a compounding relationship with climate change in driving vulnerability, according to the Climate Change 2022: Impacts, Adaptation and Vulnerability. Working Group II Contribution to the IPCC Sixth Assessment Report?","B","Increased urbanisation increasing exposure to floods and droughts.","Anthropogenic land use changes intensifying the intensity, frequency and spatial extent of disasters.","Population growth leading to higher demand for water resources.","Psychological trauma from prolonged periods of drought.","Not sure"
"26153","383","Which of the following most accurately reflects a logical consequence or relationship implied in the Climate Change 2022: Impacts, Adaptation and Vulnerability. Working Group II Contribution to the IPCC Sixth Assessment Report regarding the interaction between climate change and ecosystem services?","C","Climate change will uniformly reduce all forms of agricultural productivity, with no regional variation or potential short-term gains.","The decline in marine fisheries and aquaculture productivity is primarily driven by overfishing rather than warming and acidification.","While climate change will disrupt pollinator activity and species distribution, it may also indirectly elevate the costs of controlling pests and diseases due to increased biotic stress.","Adaptation measures such as switching crop varieties and altering farm activities are projected to fully offset the impacts of climate change on food systems.","Not sure"
"26156","384","Which of the following best explains why the association between Campylobacteriosis and climate may be considered indirect, based on the information provided in the Climate Change 2022: Impacts, Adaptation and Vulnerability. Working Group II Contribution to the IPCC Sixth Assessment Report?","D","Because temperature increases directly cause a rise in Campylobacter infections without any mediating factors.","Because Campylobacter infections are solely driven by high rainfall, which is unrelated to climate variability.","Because Campylobacteriosis outbreaks have been shown to decline immediately after all extreme weather events.","Because weather conditions that encourage outdoor food preparation and recreational activities may influence infection rates.","Not sure"
